iter	RMSE
267	330.0716671
268	329.742873
269	329.0300883
270	328.6150503
271	327.951728
272	327.4927777
273	327.1924363
274	326.9069232
275	326.7318503
276	326.5180645
277	325.9374297
278	325.7811705
279	325.4772996
280	325.0740342
281	324.2015134
282	324.1497737
283	324.0432104
284	323.3223903
285	322.913419
286	322.2688261
287	321.4277771
288	320.5187015
289	320.100042
290	319.599965
291	319.2901476
292	318.5383188
293	318.1988787
294	317.5157157
295	317.1223325
296	316.8662176
297	316.0976224
298	315.9649911
299	315.5969494
300	315.5121735
301	315.0702
302	314.9457444
303	314.3268892
304	313.9638344
305	313.8148907
306	313.5922154
307	313.3003508
308	312.9507297
309	312.6400676
310	311.917571
311	311.7890535
312	311.3759348
313	310.8776508
314	310.6280949
315	310.3564415
316	310.1522929
317	309.6615963
318	309.4160298
319	309.2911988
320	308.6125039
321	308.0861976
322	307.6635221
323	307.6037626
324	307.5105766
325	306.728465
326	306.4463836
327	306.2201886
328	306.0884328
329	305.5892297
330	305.5366797
331	305.3195621
332	304.9554734
333	304.8805373
334	304.7607617
335	304.2691121
336	303.7212529
337	302.991628
338	302.6022937
339	302.1273268
340	301.6552931
341	301.4302215
342	300.9239234
343	300.3392469
344	300.1472081
345	299.9201846
346	299.4541452
347	299.0982988
348	298.738148
349	298.4354382
350	298.2276763
351	297.8404866
352	297.6196408
353	296.948189
354	296.7269854
355	296.4407942
356	296.0690739
357	295.3478585
358	294.7169291
359	294.2613879
360	293.7073675
361	293.2840098
362	292.9295604
363	292.8689806
364	292.4554935
365	291.8031025
366	291.2099372
367	290.7311648
368	290.0911111
369	289.7545511
370	289.5609448
371	289.4033969
372	289.1417813
373	288.6172604
374	288.5374471
375	288.1912044
376	287.7802907
377	287.489624
378	287.2300282
379	287.1086827
380	286.7422643
381	286.3329872
382	286.130708
383	285.9424071
384	285.2495014
385	285.0701663
386	284.6380626
387	284.2997742
388	284.2195853
389	283.8100972
390	283.3401753
391	282.7511811
392	282.3168755
393	282.0245358
394	281.6642599
395	281.5141131
396	281.2549191
397	281.2124568
398	280.8505714
399	280.5907292
400	280.46373
401	280.2824764
402	280.2298395
403	280.0717835
404	279.5489866
405	279.2418343
406	278.8825569
407	278.8127634
408	278.6481332
409	278.4107478
410	278.0878165
411	277.7422199
412	277.6198262
413	277.5695801
414	277.2897504
415	277.0650681
416	276.9865271
417	276.7611699
418	276.5644967
419	276.0646291
420	275.533977
421	275.3548357
422	275.2133941
423	275.1513045
424	274.8580571
425	274.8176627
426	274.6325327
427	274.4433408
428	273.9552806
429	273.7835354
430	273.6931072
431	273.5121203
432	273.2322819
433	273.0508981
434	272.7736776
435	272.5680903
436	272.2961494
437	271.9773434
438	271.4578638
439	271.1264675
440	271.0662674
441	270.7079097
442	270.6431727
443	270.2450452
444	269.8788898
445	269.5152347
446	269.1837589
447	268.9003453
448	268.7101957
449	268.5546077
450	268.2946977
451	268.2224531
452	268.1674304
453	267.6516975
454	267.4355867
455	267.072572
456	266.8343592
457	266.5301999
458	266.1576883
459	265.8312208
460	265.4628974
461	265.2858093
462	265.0731996
463	264.9298272
464	264.7805773
465	264.6814818
466	264.1935751
467	263.8795039
468	263.3184996
469	263.1963062
470	262.9434693
471	262.7428139
472	262.5590039
473	262.3809489
474	262.0297548
475	261.7633547
476	261.4027273
477	260.8896374
478	260.8353127
479	260.5424038
480	260.1887329
481	259.8065795
482	259.3654776
483	259.3308613
484	258.9048106
485	258.5943154
486	258.4016926
487	258.3681377
488	258.1162779
489	257.8179339
490	257.388919
491	257.239045
492	256.4475701
493	256.2647828
494	255.8183573
495	255.4081722
496	254.9582491
497	254.7422661
498	254.5921617
499	254.4661734
500	254.1942143
501	254.0415707
502	253.619151
503	253.4117366
504	253.2785066
505	253.0442003
506	252.8036268
507	252.412482
508	252.1711041
509	251.9157102
510	251.6643764
511	251.3951703
512	251.2285518
513	251.0523175
514	250.8832273
515	250.7635377
516	250.3009403
517	250.1012947
518	249.9261204
519	249.7102087
520	249.586576
521	249.3784928
522	248.9027892
523	248.6100822
524	248.3881854
525	248.0110451
526	247.6603595
527	247.3062701
528	247.1512301
529	246.9709069
530	246.8524169
531	246.5964189
532	246.3550443
533	246.184819
534	246.0724176
535	245.8248729
536	245.550538
537	245.4084529
538	245.2554726
539	245.0225435
540	244.78342
541	244.5547716
542	244.3467902
543	244.2355107
544	243.9326163
545	243.741693
546	243.3692614
547	243.0199299
548	242.8448645
549	242.5793516
550	242.4416344
551	242.2385877
552	242.1619701
553	241.8144712
554	241.6016191
555	241.3227909
556	240.9874596
557	240.8480788
558	240.8250977
559	240.6548777
560	240.4596086
561	240.2449742
562	240.0593565
563	239.9194566
564	239.7072189
565	239.5294381
566	239.1735068
567	238.968558
568	238.2578269
569	238.1058509
570	238.0018465
571	237.8714934
572	237.5884134
573	237.1096817
574	236.9920409
575	236.8544114
576	236.6390932
577	236.4760736
578	236.2806012
579	236.1717713
580	235.8760603
581	235.6847786
582	235.3253704
583	234.9473455
584	234.6358051
585	234.5071566
586	234.3326061
587	234.2339566
588	233.8617096
589	233.396531
590	233.167058
591	233.0498262
592	232.9202778
593	232.7081411
594	232.5058064
595	232.4026457
596	232.2160078
597	231.9752781
598	231.6984993
599	231.6419819
600	231.5156715
601	231.2542384
602	231.2117391
603	230.9464339
604	230.7903581
605	230.5376571
606	230.4192539
607	230.3705835
608	229.9747358
609	229.7097347
610	229.4829107
611	229.4188703
612	229.1760035
613	229.0238158
614	228.9321284
615	228.7287664
616	228.6842233
617	228.4603288
618	228.3126157
619	228.141268
620	227.7882804
621	227.7437447
622	227.6421392
623	227.434809
624	227.1976031
625	226.8836492
626	226.7742637
627	226.6865077
628	226.524581
629	226.4395539
630	226.0703901
631	225.9644841
632	225.873927
633	225.6349643
634	225.4664819
635	225.385173
636	225.2613922
637	225.0857272
638	224.9992889
639	224.7173294
640	224.4830844
641	224.3182432
642	224.1761335
643	223.9434645
644	223.8246442
645	223.6021638
646	223.4317716
647	223.2868796
648	223.1518605
649	222.9261569
650	222.7717807
651	222.505092
652	222.4673898
653	222.3642826
654	222.2144256
655	222.1255356
656	221.9511633
657	221.8899062
658	221.7058303
659	221.5028111
660	221.2453595
661	221.1528533
662	220.8404798
663	220.6259471
664	220.419609
665	220.2142352
666	220.115322
667	219.9742381
668	219.7834479
669	219.7318492
670	219.5309683
671	219.4245029
672	219.2563924
673	218.9175497
674	218.5561379
675	218.4789833
676	218.1508243
677	218.0815185
678	217.8244435
679	217.5863891
680	217.1642062
681	216.8482515
682	216.4343603
683	216.1808082
684	215.9323705
685	215.8197819
686	215.5854182
687	215.5300318
688	215.4499819
689	215.3660232
690	215.1409739
691	214.9330726
692	214.6822876
693	214.5262161
694	214.2701089
695	214.0564069
696	213.9981093
697	213.719337
698	213.4561509
699	213.1626358
700	212.9345993
701	212.7668708
702	212.5602382
703	212.1710069
704	211.9969423
705	211.8296372
706	211.6445787
707	211.4046336
708	211.0809681
709	210.8079828
710	210.6153975
711	210.5271363
712	210.352773
713	210.1147188
714	209.9361882
715	209.8656805
716	209.6004377
717	209.4916102
718	209.4103319
719	209.3460938
720	209.2651563
721	209.0324999
722	208.8961912
723	208.6092557
724	208.5085718
725	208.3684428
726	208.2266295
727	208.0439177
728	207.9668942
729	207.791206
730	207.6954145
731	207.5997212
732	207.565441
733	207.3087064
734	207.2122222
735	206.9328212
736	206.738616
737	206.6028693
738	206.3059214
739	206.1846087
740	206.0841044
741	205.9325177
742	205.7845761
743	205.5166549
744	205.3287977
745	205.1687857
746	204.9676475
747	204.7727726
748	204.567369
749	204.4787207
750	204.2193646
751	203.9946525
752	203.6234437
753	203.5131207
754	203.4160951
755	203.3638106
756	203.1999742
757	203.1050839
758	202.7510382
759	202.6013378
760	202.4597575
761	202.2428101
762	202.0747927
763	201.9412444
764	201.814525
765	201.5830888
766	201.4903164
767	201.4665059
768	201.4377769
769	201.1743226
770	200.9469761
771	200.8504228
772	200.6200463
773	200.30532
774	200.0865326
775	199.803057
776	199.6086715
777	199.3351721
778	198.9413636
779	198.8391247
780	198.7437884
781	198.500335
782	198.248871
783	198.1564883
784	198.0196711
785	197.9017588
786	197.8636103
787	197.7791282
788	197.6077525
789	197.4163311
790	197.3191866
791	197.1270915
792	197.0471801
793	196.9944349
794	196.8720011
795	196.689151
796	196.4093183
797	196.1818087
798	196.1532446
799	195.9848272
800	195.8980662
801	195.6818886
802	195.5012595
803	195.3646566
804	195.1868594
805	195.017138
806	194.821596
807	194.5483472
808	194.4745947
809	194.2405028
810	194.0342598
811	193.8871562
812	193.6698748
813	193.5832319
814	193.4724842
815	193.3549395
816	193.2931906
817	193.0756278
818	192.9785234
819	192.8542684
820	192.6707773
821	192.5902778
822	192.5126815
823	192.4529975
824	192.3198651
825	192.1573338
826	191.9868041
827	191.5904337
828	191.4989659
829	191.4049338
830	191.350919
831	191.1978273
832	191.0043862
833	190.820361
834	190.6716728
835	190.577905
836	190.4543181
837	190.3209782
838	190.2465298
839	190.0049024
840	189.7964476
841	189.6113574
842	189.5267582
843	189.4353388
844	189.2652938
845	189.2301449
846	189.130476
847	189.0002167
848	188.7941497
849	188.6431343
850	188.4710359
851	188.3400417
852	188.2801957
853	188.2283011
854	188.0610512
855	187.8574509
856	187.7724838
857	187.5690389
858	187.4806279
859	187.3190574
860	187.1658476
861	187.0059647
862	186.8565219
863	186.7183572
864	186.5314132
865	186.4208675
866	186.0641212
867	185.9548991
868	185.8225901
869	185.6553525
870	185.5847904
871	185.4949439
872	185.3940228
873	185.19124
874	185.1239598
875	184.8725108
876	184.6643743
877	184.4310548
878	184.3139718
879	184.1202823
880	184.0936553
881	183.8396933
882	183.653373
883	183.4740428
884	183.4121548
885	183.327043
886	183.1763214
887	182.9207717
888	182.8483595
889	182.5596965
890	182.4721806
891	182.3749795
892	182.3561376
893	182.1271436
894	181.9962182
895	181.8313573
896	181.8078124
897	181.6424557
898	181.4397495
899	181.2832772
900	181.0572024
901	180.9257611
902	180.7757598
903	180.6605271
904	180.5602843
905	180.366507
906	180.3061925
907	180.1951014
908	180.1661791
909	180.1329159
910	180.0286281
911	179.9749667
912	179.6678428
913	179.5964738
914	179.3959717
915	179.3132451
916	179.198722
917	179.1244541
918	179.0362997
919	178.7889342
920	178.7415851
921	178.5936358
922	178.5190715
923	178.4463678
924	178.3435443
925	178.3192939
926	178.240097
927	178.1921461
928	178.1120775
929	178.0274209
930	177.8582942
931	177.8166759
932	177.7488181
933	177.5947249
934	177.4744961
935	177.3830323
936	177.0112902
937	176.8741345
938	176.8032657
939	176.7403025
940	176.6424158
941	176.5777398
942	176.4109048
943	176.3418341
944	176.2591685
945	176.165798
946	176.0821841
947	176.0614843
948	175.9055579
949	175.7163804
950	175.5797021
951	175.5299704
952	175.3980486
953	175.1210713
954	175.0271034
955	174.8405691
956	174.7453068
957	174.6856393
958	174.457937
959	174.4087378
960	174.2715579
961	174.1808937
962	173.9776572
963	173.932764
964	173.7456247
965	173.7090806
966	173.6132108
967	173.5280599
968	173.451582
969	173.2512878
970	173.2228506
971	173.0554901
972	172.9879451
973	172.9385774
974	172.7937045
975	172.6598079
976	172.6172677
977	172.5401974
978	172.4644197
979	172.3915046
980	172.371512
981	172.3237312
982	172.2220089
983	172.202833
984	172.1570478
985	172.0727515
986	172.0556674
987	171.9649282
988	171.9013509
989	171.7621925
990	171.6947073
991	171.6381836
992	171.5389265
993	171.4713403
994	171.3486208
995	171.2204365
996	171.1629427
997	171.0522243
998	171.0319819
999	170.8964207
