iter	Passed	Remaining
241	408	1278
242	409	1275
243	410	1272
244	412	1269
245	413	1267
246	414	1264
247	416	1262
248	418	1260
249	419	1258
250	420	1256
251	422	1253
252	423	1251
253	425	1248
254	426	1246
255	428	1244
256	429	1241
257	430	1238
258	432	1236
259	433	1234
260	435	1232
261	436	1229
262	437	1226
263	439	1224
264	440	1221
265	441	1219
266	443	1216
267	444	1213
268	445	1211
269	447	1209
270	448	1206
271	450	1204
272	451	1202
273	453	1200
274	454	1198
275	456	1196
276	457	1193
277	458	1191
278	460	1189
279	461	1187
280	463	1184
281	464	1182
282	465	1180
283	467	1178
284	468	1175
285	470	1173
286	471	1171
287	473	1169
288	474	1167
289	475	1165
290	477	1162
291	478	1160
292	480	1158
293	481	1156
294	482	1154
295	484	1151
296	485	1149
297	487	1147
298	488	1145
299	489	1143
300	491	1140
301	492	1138
302	493	1136
303	495	1134
304	496	1131
305	498	1129
306	499	1127
307	501	1125
308	502	1123
309	503	1121
310	505	1119
311	506	1117
312	508	1115
313	509	1113
314	511	1111
315	512	1109
316	513	1107
317	515	1105
318	517	1103
319	518	1101
320	519	1099
321	521	1097
322	522	1096
323	524	1094
324	526	1092
325	527	1090
326	528	1088
327	530	1085
328	531	1083
329	532	1081
330	533	1079
331	535	1077
332	536	1074
333	538	1072
334	540	1072
335	541	1070
336	543	1068
337	544	1067
338	546	1064
339	547	1062
340	549	1061
341	550	1059
342	551	1057
343	553	1055
344	554	1053
345	556	1051
346	557	1049
347	559	1047
348	560	1045
349	562	1044
350	563	1042
351	565	1040
352	567	1039
353	568	1037
354	569	1035
355	571	1033
356	572	1031
357	574	1029
358	575	1027
359	577	1026
360	578	1024
361	580	1022
362	582	1021
363	583	1019
364	585	1018
365	587	1016
366	588	1015
367	590	1013
368	591	1011
369	593	1009
370	594	1007
371	596	1006
372	597	1004
373	598	1002
374	600	1000
375	602	999
376	603	997
377	605	995
378	606	994
379	608	992
380	609	990
381	611	988
382	612	987
383	614	985
384	615	983
385	617	981
386	618	979
387	620	978
388	621	976
389	623	974
390	624	972
391	625	970
392	627	968
393	628	967
394	630	965
395	631	963
396	633	961
397	634	959
398	635	957
399	637	956
400	638	954
401	640	952
402	641	950
403	643	948
404	644	947
405	646	945
406	647	943
407	649	941
408	650	940
409	652	938
410	653	937
411	655	935
412	656	933
413	658	931
414	659	929
415	660	927
416	662	926
417	664	924
418	665	922
419	666	920
420	668	919
421	670	917
422	671	916
423	673	914
424	674	912
425	676	911
426	678	909
427	679	908
428	681	906
429	682	905
430	684	903
431	686	901
432	687	900
433	689	898
434	690	897
435	692	895
436	693	893
437	695	892
438	696	890
439	698	888
440	699	886
441	701	886
442	703	884
443	705	883
444	706	881
445	708	880
446	709	878
447	711	876
448	712	874
449	714	872
450	715	871
451	717	869
452	718	867
453	720	866
454	722	864
455	723	863
456	724	861
457	726	859
458	729	859
459	731	858
460	733	857
461	734	855
462	736	853
463	737	852
464	739	850
465	740	848
466	742	846
467	743	845
468	745	843
469	746	841
470	747	840
471	749	838
472	751	836
473	752	835
474	754	833
475	755	831
476	756	829
477	758	828
478	759	826
479	761	824
480	762	823
481	764	821
482	765	819
483	767	817
484	768	816
485	770	814
486	771	813
487	773	811
488	775	810
489	776	808
490	778	806
491	779	805
492	781	803
493	782	801
494	784	800
495	786	798
496	787	796
497	788	795
498	790	793
499	792	792
500	793	790
501	795	789
502	796	787
503	798	785
504	799	783
505	800	781
506	802	780
507	803	778
508	805	777
509	807	775
510	808	773
511	810	772
512	811	770
513	813	768
514	814	767
515	815	765
516	817	763
517	818	761
518	820	760
519	821	758
520	823	757
521	824	755
522	826	753
523	827	752
524	829	750
525	830	748
526	832	746
527	833	745
528	835	743
529	836	741
530	838	740
531	839	738
532	840	736
533	842	735
534	843	733
535	845	731
536	846	729
537	847	728
538	849	726
539	850	724
540	852	723
541	853	721
542	855	719
543	856	718
544	858	716
545	859	714
546	861	713
547	862	711
548	863	709
549	865	708
550	866	706
551	868	704
552	869	703
553	871	701
554	872	699
555	873	697
556	875	696
557	876	694
558	878	692
559	879	691
560	881	689
561	882	687
562	883	686
563	885	684
564	886	682
565	887	680
566	889	679
567	890	677
568	892	675
569	893	674
570	895	672
571	896	670
572	897	669
573	899	667
574	900	665
575	901	663
576	903	662
577	904	660
578	906	658
579	907	657
580	909	656
581	911	654
582	913	653
583	915	651
584	916	650
585	918	648
586	919	647
587	921	645
588	922	644
589	924	642
590	926	641
591	927	639
592	929	638
593	931	636
594	932	634
595	933	633
596	935	631
597	937	630
598	938	628
599	940	626
600	942	625
601	943	624
602	945	622
603	947	620
604	948	619
605	950	617
606	951	616
607	952	614
608	954	612
609	955	611
610	957	609
611	958	607
612	959	606
613	961	604
614	962	602
615	963	600
616	965	599
617	966	597
618	968	595
619	969	594
620	970	592
621	972	590
622	973	589
623	975	587
624	976	586
625	978	584
626	979	582
627	981	581
628	983	579
629	984	578
630	986	576
631	987	575
632	989	573
633	990	571
634	991	570
635	993	568
636	994	566
637	996	565
638	997	563
639	999	561
640	1000	560
641	1002	558
642	1003	557
643	1004	555
644	1006	553
645	1007	552
646	1008	550
647	1010	548
648	1011	546
649	1012	545
650	1014	543
651	1015	541
652	1016	540
653	1017	538
654	1019	536
655	1020	535
656	1022	533
657	1023	531
658	1024	530
659	1026	528
660	1027	527
661	1028	525
662	1030	523
663	1031	522
664	1033	520
665	1034	518
666	1036	517
667	1037	515
668	1038	513
669	1040	512
670	1041	510
671	1042	508
672	1043	507
673	1045	505
674	1046	504
675	1048	502
676	1050	500
677	1051	499
678	1052	497
679	1054	496
680	1055	494
681	1057	492
682	1058	491
683	1059	489
684	1061	487
685	1062	486
686	1063	484
687	1065	483
688	1066	481
689	1067	479
690	1069	478
691	1070	476
692	1071	474
693	1073	473
694	1074	471
695	1075	469
696	1077	468
697	1078	466
698	1079	464
699	1081	463
700	1082	461
701	1083	459
702	1084	458
703	1086	456
704	1087	455
705	1089	453
706	1090	451
707	1091	450
708	1093	448
709	1094	447
710	1096	445
711	1097	443
712	1099	442
713	1100	440
714	1101	439
715	1103	437
716	1105	436
717	1107	434
718	1108	433
719	1110	431
720	1111	430
721	1113	428
722	1114	427
723	1115	425
724	1117	423
725	1118	422
726	1120	420
727	1121	419
728	1123	417
729	1124	415
730	1126	414
731	1127	412
732	1128	411
733	1130	409
734	1131	408
735	1133	406
736	1161	414
737	1163	413
738	1164	411
739	1166	409
740	1167	408
741	1169	406
742	1170	404
743	1172	403
744	1173	401
745	1175	400
746	1176	398
747	1177	396
748	1179	395
749	1180	393
750	1182	392
751	1184	390
752	1185	388
753	1186	387
754	1188	385
755	1189	384
756	1191	382
757	1193	380
758	1194	379
759	1195	377
760	1197	376
761	1199	374
762	1201	373
763	1202	371
764	1203	369
765	1205	368
766	1209	367
767	1210	365
768	1212	364
769	1213	362
770	1215	361
771	1217	359
772	1218	357
773	1220	356
774	1222	354
775	1223	353
776	1225	351
777	1227	350
778	1229	348
779	1230	347
780	1232	345
781	1233	343
782	1235	342
783	1237	340
784	1238	339
785	1240	337
786	1242	336
787	1243	334
788	1245	333
789	1247	331
790	1248	329
791	1250	328
792	1251	326
793	1253	325
794	1254	323
795	1256	321
796	1257	320
797	1259	318
798	1261	317
799	1263	315
800	1264	314
801	1266	312
802	1268	311
803	1269	309
804	1271	308
805	1273	306
806	1274	304
807	1276	303
808	1277	301
809	1279	300
810	1280	298
811	1282	296
812	1283	295
813	1284	293
814	1286	292
815	1288	290
816	1290	289
817	1292	287
818	1293	285
819	1295	284
820	1296	282
821	1298	281
822	1299	279
823	1301	278
824	1303	276
825	1305	274
826	1306	273
827	1307	271
828	1309	270
829	1310	268
830	1312	266
831	1313	265
832	1315	263
833	1316	262
834	1318	260
835	1319	258
836	1321	257
837	1322	255
838	1324	254
839	1325	252
840	1327	250
841	1328	249
842	1330	247
843	1331	246
844	1333	244
845	1334	242
846	1336	241
847	1338	239
848	1340	238
849	1341	236
850	1343	235
851	1344	233
852	1346	232
853	1348	230
854	1349	228
855	1351	227
856	1352	225
857	1354	224
858	1355	222
859	1357	220
860	1358	219
861	1360	217
862	1361	216
863	1363	214
864	1364	213
865	1366	211
866	1367	209
867	1369	208
868	1370	206
869	1372	205
870	1373	203
871	1375	201
872	1376	200
873	1378	198
874	1379	197
875	1381	195
876	1383	193
877	1384	192
878	1385	190
879	1387	189
880	1389	187
881	1390	186
882	1392	184
883	1393	182
884	1395	181
885	1396	179
886	1398	178
887	1399	176
888	1400	174
889	1402	173
890	1403	171
891	1405	170
892	1406	168
893	1408	166
894	1409	165
895	1411	163
896	1413	162
897	1414	160
898	1416	159
899	1418	157
900	1419	155
901	1421	154
902	1423	152
903	1424	151
904	1426	149
905	1427	148
906	1429	146
907	1430	144
908	1432	143
909	1433	141
910	1435	140
911	1436	138
912	1438	137
913	1440	135
914	1441	133
915	1443	132
916	1444	130
917	1446	129
918	1447	127
919	1449	126
920	1451	124
921	1453	122
922	1454	121
923	1456	119
924	1457	118
925	1459	116
926	1461	115
927	1462	113
928	1464	111
929	1465	110
930	1467	108
931	1469	107
932	1471	105
933	1472	104
934	1474	102
935	1475	100
936	1477	99
937	1478	97
938	1480	96
939	1481	94
940	1483	92
941	1484	91
942	1486	89
943	1487	88
944	1489	86
945	1490	85
946	1492	83
947	1493	81
948	1494	80
949	1496	78
950	1497	77
951	1499	75
952	1500	74
953	1502	72
954	1504	70
955	1505	69
956	1506	67
957	1508	66
958	1509	64
959	1510	62
960	1512	61
961	1513	59
962	1514	58
963	1516	56
964	1517	55
965	1519	53
966	1520	51
967	1521	50
968	1523	48
969	1524	47
970	1526	45
971	1527	44
972	1529	42
973	1530	40
974	1532	39
975	1533	37
976	1535	36
977	1536	34
978	1537	32
979	1539	31
980	1540	29
981	1542	28
982	1543	26
983	1545	25
984	1546	23
985	1547	21
986	1549	20
987	1550	18
988	1552	17
989	1553	15
990	1555	14
991	1556	12
992	1557	10
993	1559	9
994	1560	7
995	1562	6
996	1563	4
997	1564	3
998	1565	1
999	1567	0
